Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H5348,2014,1,0,N,V,V,U,1500,4,1980,   .,6012,1
H6163,2013,1,0,V,N,O,R,1850,4,1950,4,6012,0
H7159,2015,1,1,N,V,V,U,950,4,1960,   .,6012,1
H7183,2012,1,1,N,V,V,U,340,4,1960,   .,6012,0
H7184,2015,1,1,N,V,V,U,340,4,1960,   .,6012,0
H7279,2015,0.997260274,0,V,N,O,R,997,4,1960,4,6012,0
H16150,2013,1,1,V,N,O,R,3336,4,1970,5,6014,0
H17519,2013,1,0,V,N,O,R,3270,4,1980,7,6014,1
H17520,2015,1,0,V,N,O,R,3270,4,1980,7,6014,0
H6536,2013,0.665753425,0,N,V,V,U,300,4,1960,   .,6016,0
H13427,2012,1,1,N,V,V,U,2235,4,1960,   .,6027,0
H14436,2012,1,0,N,V,V,U,1400,4,1980,   .,6027,0
H16254,2015,1,1,V,N,O,R,5586,4,1978,5,6027,0
H16255,2016,1,1,V,N,O,R,5586,4,1978,5,6027,0
H4560,2014,1,0,V,N,O,R,800,4,1967,4,6027,1
H12619,2013,0.893150685,0,N,V,V,U,300,4,1960,   .,6029,0
H12638,2013,1,0,N,V,V,U,4310,4,,   .,6029,1
H12928,2012,1,0,N,V,V,U,2160,4,1980,   .,6029,1
H15123,2015,1,0,V,N,O,R,650,4,1960,3,6029,1
H16926,2012,1,0,V,N,O,R,210,4,1927,2,6029,0
H17036,2012,1,0,V,N,O,R,7063,4,1952,7,6029,1
H17184,2013,1,0,V,N,O,R,1696,4,2007,5,6029,0
H17876,2015,1,0,V,N,O,R,740,4,1940,4,6029,0
H19966,2016,0.024590164,1,V,N,O,R,3300,4,1957,2,6029,0
H200,2013,1,0,V,N,O,R,350,4,1960,4,6029,0
H2198,2012,1,1,V,V,V,U,400,4,1980,   .,6029,0
H2459,2014,0,0,V,V,V,U,1000,4,,   .,6029,1
H385,2015,0.893150685,0,V,V,V,U,162,4,,   .,6029,0
H391,2014,1,0,N,V,V,U,320,4,1960,   .,6029,0
H392,2016,0.99726776,0,N,V,V,U,320,4,1960,   .,6029,0
H5724,2015,0.580821918,1,V,V,V,U,18000,4,1980,   .,6029,1
H725,2012,1,0,V,V,V,U,1225,4,1960,   .,6029,1
H14086,2015,1,0,N,V,V,U,400,4,1960,   .,6030,0
H14735,2013,0.832876712,0,N,V,V,U,270,4,1980,   .,6030,0
H16502,2012,1,0,V,N,O,R,740,4,1970,4,6030,0
H17791,2012,1,0,V,N,O,R,1150,4,1978,3,6030,0
H18545,2015,1,0,V,N,O,R,4200,4,1988,4,6030,1
H19770,2015,0.260273973,0,V,N,O,R,100,4,1800,3,6030,0
H6135,2013,0.747945205,1,N,V,V,U,900,4,1988,   .,6030,0
H6607,2012,1,1,N,V,V,U,9920,4,1980,   .,6030,1
H6954,2015,1,0,V,V,V,U,2625,4,1980,   .,6030,0
H13667,2013,1,0,V,N,O,R,5350,4,2007,7,6032,0
H1374,2014,0.915068493,1,V,V,V,U,270,4,1960,   .,6032,0
H14287,2012,1,0,N,V,V,U,3406,4,1988,   .,6032,0
H15347,2012,1,0,V,N,O,R,3700,4,1985,7,6032,1
H15348,2015,1,0,V,N,O,R,3700,4,1985,7,6032,1
H18765,2012,0.418032787,0,V,N,O,R,3369,4,2009,3,6032,0
H18766,2013,1,0,V,N,O,R,3369,4,2009,3,6032,1
H18767,2014,1,0,V,N,O,R,3369,4,2009,3,6032,1
H4087,2013,0.104109589,0,V,V,V,U,4846,4,1980,   .,6032,0
H4475,2014,1,0,V,V,V,U,7887,4,1980,   .,6032,1
H5184,2013,1,0,V,V,V,U,1300,4,1980,   .,6032,1
H5185,2014,0.769863014,0,V,V,V,U,1300,4,1980,   .,6032,0
H15504,2013,1,1,V,N,O,R,4000,4,1980,4,6033,1
H15505,2014,1,1,V,N,O,R,4000,4,1980,4,6033,0
H16260,2013,1,0,V,N,O,R,171,4,1930,3,6035,1
H16261,2015,1,0,V,N,O,R,171,4,1930,3,6035,0
H15826,2013,1,0,V,N,O,R,570,4,1960,2,6036,0
H5245,2014,1,0,N,V,V,U,65,4,1960,   .,6036,0
H19615,2016,0.99726776,0,V,N,O,R,367,4,1985,4,6044,0
H6058,2013,1,1,N,V,V,U,200,4,1960,   .,6048,1
H13802,2012,1,1,N,V,V,U,400,4,1960,   .,6057,1
H13713,2013,1,0,N,V,V,U,400,4,1980,   .,6067,0
H13714,2016,1,0,N,V,V,U,400,4,1980,   .,6067,0
H14252,2012,1,0,V,N,O,R,400,4,1940,4,6069,0
H14253,2016,1,0,V,N,O,R,400,4,1940,4,6069,0
H14592,2012,1,0,V,N,O,R,400,4,1920,4,6069,0
H15219,2014,1,0,V,N,O,R,6300,4,1977,5,6069,1
H17277,2012,1,0,V,N,O,R,250,4,1890,5,6069,0
H18713,2014,1,0,V,N,O,R,750,4,1900,3,6069,0
H2984,2013,0.024657534,0,V,V,V,U,400,4,1960,   .,6069,0
H393,2015,1,0,V,N,O,R,660,4,1949,5,6069,1
H394,2013,1,0,V,N,O,R,1100,4,1978,3,6069,0
H396,2013,1,0,V,N,O,R,530,4,1949,6,6069,0
H15194,2012,1,0,V,N,O,R,3269,4,1975,4,6070,0
H15195,2014,1,0,V,N,O,R,3269,4,1975,4,6070,1
H15196,2015,1,0,V,N,O,R,3269,4,1975,4,6070,0
H3672,2013,0,0,N,V,V,U,300,4,,   .,6073,0
H18343,2013,1,0,V,N,O,R,640,4,1951,4,6077,0
H12817,2015,1,0,N,V,V,U,530,4,1980,   .,6079,0
H15625,2013,1,0,V,N,O,R,450,4,1960,3,6079,0
H19106,2013,1,0,V,N,O,R,3800,4,1960,7,6079,0
H5705,2014,0.476712329,1,V,N,O,R,1140,4,1988,3,6079,1
H12668,2013,1,0,V,N,O,R,400,4,1960,5,6083,0
H13306,2012,1,0,N,V,V,U,130,4,1960,   .,6083,0
H13348,2012,1,0,N,V,V,U,243,4,1960,   .,6083,0
H13349,2013,0.865753425,0,N,V,V,U,243,4,1960,   .,6083,0
H1335,2012,1,1,V,V,V,U,2106,4,1980,   .,6083,1
H13398,2013,1,1,N,V,V,U,1842,4,1988,   .,6083,0
H1367,2012,0.554644809,1,V,V,V,U,2713,4,1980,   .,6083,0
H13899,2015,1,0,V,N,O,R,500,4,1950,5,6083,0
H14023,2012,1,0,N,V,V,U,614,4,1980,   .,6083,0
H14231,2014,1,0,V,N,O,R,1370,4,2008,5,6083,0
H14232,2015,1,0,V,N,O,R,1370,4,2008,5,6083,0
H14574,2015,1,0,N,V,V,U,430,4,1960,   .,6083,0
H14648,2014,1,0,N,V,V,U,1563,4,1980,   .,6083,0
H14811,2013,1,0,N,V,V,U,250,4,1960,   .,6083,0
H14825,2013,0.832876712,0,N,V,V,U,1350,4,1980,   .,6083,0
H14855,2014,1,0,N,V,V,U,480,4,1960,   .,6083,0
H14856,2015,1,0,N,V,V,U,480,4,1960,   .,6083,0
H14857,2014,1,0,N,V,V,U,1600,4,1960,   .,6083,0
H14968,2014,1,0,N,V,V,U,5800,4,1988,   .,6083,1
H14969,2016,0.99726776,0,V,N,O,R,1000,4,1972,6,6083,0
H15095,2015,0.084931507,0,V,N,O,R,2000,4,1972,6,6083,0
H15590,2016,0.99726776,0,V,N,O,R,2880,4,1970,8,6083,1
H15644,2015,1,0,V,N,O,R,3343,4,1970,7,6083,0
H15869,2014,1,0,V,N,O,R,10573,4,1972,9,6083,0
H1593,2013,1,1,V,V,V,U,1853,4,1988,   .,6083,0
H16012,2016,0.163934426,1,V,N,O,R,5939,4,1987,6,6083,0
H16176,2016,1,0,V,N,O,R,518,4,2010,4,6083,1
H16237,2015,1,0,V,N,O,R,3120,4,2000,4,6083,0
H16238,2016,1,0,V,N,O,R,3120,4,2000,4,6083,1
H16375,2014,1,0,V,N,O,R,450,4,1920,6,6083,0
H16930,2014,1,0,V,N,O,R,12900,4,1970,5,6083,0
H16931,2016,1,0,V,N,O,R,12900,4,1970,5,6083,1
H17129,2015,1,0,V,N,O,R,450,4,1960,3,6083,0
H17417,2012,1,0,V,N,O,R,1300,4,1960,5,6083,1
H17557,2012,1,0,V,N,O,R,254,4,1900,3,6083,1
H17752,2013,1,0,V,N,O,R,1050,4,1960,4,6083,0
H18217,2013,1,0,V,N,O,R,4500,4,2011,7,6083,0
H18220,2014,1,0,V,N,O,R,700,4,1960,3,6083,1
H18234,2012,0.448087432,1,V,N,O,R,2712,4,1970,6,6083,0
H18235,2015,1,1,V,N,O,R,2712,4,1970,6,6083,0
H18735,2013,1,0,V,N,O,R,300,4,1920,3,6083,0
H18761,2012,0.50273224,1,V,N,O,R,1120,4,2007,1,6083,0
H19039,2014,1,0,V,N,O,R,5598,4,1980,5,6083,1
H19040,2016,0.99726776,0,V,N,O,R,4500,4,1980,5,6083,1
H19857,2016,0.75136612,1,V,N,O,R,2659,4,1962,6,6083,0
H19902,2016,0.50273224,1,V,N,O,R,450,4,1900,2,6083,0
H19950,2016,0.081967213,1,V,N,O,R,300,4,1900,3,6083,0
H3085,2012,1,0,V,N,O,R,500,4,1930,4,6083,0
H3106,2016,0.99726776,0,V,V,V,U,1619,4,1980,   .,6083,0
H3107,2012,1,0,V,V,V,U,826,4,1980,   .,6083,1
H3108,2016,0.99726776,0,V,V,V,U,826,4,1980,   .,6083,0
H3249,2014,1,0,V,V,V,U,1365,4,1960,   .,6083,0
H3613,2012,1,0,V,N,O,R,184,4,1960,4,6083,0
H3646,2014,1,0,V,N,O,R,970,4,1950,4,6083,0
H372,2015,1,0,V,V,V,U,686,4,1960,   .,6083,0
H3752,2014,1,0,V,N,O,R,900,4,1956,5,6083,0
H3897,2013,1,0,V,N,O,R,3508,4,1975,7,6083,1
H3983,2012,1,0,V,V,V,U,2900,4,1960,   .,6083,1
H3984,2013,1,0,V,V,V,U,2900,4,1960,   .,6083,1
H4004,2016,0.99726776,0,V,V,V,U,6984,4,1980,   .,6083,0
H4034,2013,1,0,V,N,O,R,2034,4,1970,7,6083,0
H4045,2014,1,0,N,V,V,U,7223,4,1980,   .,6083,0
H4071,2015,1,0,V,V,V,U,9400,4,1960,   .,6083,1
H4077,2014,1,0,V,V,V,U,4286,4,1960,   .,6083,1
H4085,2012,1,0,V,V,V,U,1700,4,1960,   .,6083,0
H4086,2015,1,0,V,V,V,U,1500,4,1980,   .,6083,1
H4125,2014,1,0,V,N,O,R,8400,4,1980,8,6083,1
H4307,2013,1,0,N,V,V,U,300,4,1980,   .,6083,0
H4428,2012,1,0,V,V,V,U,4176,4,1988,   .,6083,0
H4429,2013,1,0,V,V,V,U,4176,4,1988,   .,6083,0
H4474,2013,1,0,V,N,O,R,3400,4,1960,6,6083,1
H4485,2013,0.997260274,0,V,N,O,R,500,4,1960,4,6083,1
H4486,2016,1,0,V,N,O,R,500,4,1960,4,6083,0
H4488,2013,1,0,V,N,O,R,3501,4,1980,5,6083,0
H4512,2013,1,1,V,V,V,U,1325,4,1980,   .,6083,0
H4513,2014,1,1,V,V,V,U,1325,4,1980,   .,6083,1
H4579,2015,1,0,V,N,O,R,9500,4,1993,5,6083,1
H4585,2013,1,0,V,V,V,U,20,4,1988,   .,6083,0
H4586,2015,1,0,V,V,V,U,20,4,1988,   .,6083,0
H4617,2016,1,0,V,N,O,R,441,4,1960,4,6083,0
H4668,2012,1,0,V,N,O,R,1137,4,1960,5,6083,1
H4796,2015,1,1,N,V,V,U,250,4,1960,   .,6083,0
H4990,2014,1,1,N,V,V,U,418,4,1960,   .,6083,0
H5021,2016,1,0,N,V,V,U,860,4,1980,   .,6083,0
H5094,2015,0.468493151,0,N,V,V,U,500,4,1960,   .,6083,0
H5188,2014,0.797260274,0,V,V,V,U,3873,4,1988,   .,6083,0
H5196,2012,1,0,V,N,O,R,3708,4,1970,7,6083,0
H5230,2013,1,0,V,N,O,R,700,4,1975,5,6083,1
H5309,2013,1,0,V,V,V,U,7300,4,1980,   .,6083,1
H5316,2015,1,1,N,V,V,U,1080,4,1960,   .,6083,0
H5339,2015,1,0,V,N,O,R,1446,4,1950,4,6083,1
H5401,2014,1,1,N,V,V,U,357,4,1960,   .,6083,0
H5407,2016,1,0,V,N,O,R,2230,4,1960,5,6083,0
H5456,2016,1,0,V,N,O,R,1500,4,1900,5,6083,0
H5462,2013,1,0,V,V,V,U,4700,4,1980,   .,6083,1
H5528,2014,1,0,V,N,O,R,3757,4,1960,4,6083,1
H6064,2014,1,0,V,V,V,U,3043,4,1980,   .,6083,0
H6085,2016,0.99726776,0,N,V,V,U,317,4,1980,   .,6083,0
H6089,2012,1,1,N,V,V,U,1702,4,1960,   .,6083,0
H6096,2012,1,0,V,V,V,U,860,4,1980,   .,6083,1
H6159,2012,1,0,N,V,V,U,400,4,1980,   .,6083,0
H6316,2013,0.315068493,0,V,N,O,R,3450,4,2003,7,6083,0
H6373,2013,1,0,V,V,V,U,3510,4,1980,   .,6083,1
H642,2012,1,0,V,V,V,U,1565,4,1960,   .,6083,0
H6439,2012,1,0,V,N,O,R,4300,4,1940,6,6083,1
H6440,2016,0.99726776,0,V,N,O,R,4300,4,1940,6,6083,0
H6463,2014,1,0,V,N,O,R,6650,4,1912,8,6083,1
H6464,2015,1,0,V,N,O,R,6650,4,1912,8,6083,1
H6657,2015,1,1,N,V,V,U,1500,4,1960,   .,6083,0
H6701,2016,0.99726776,0,V,N,O,R,2857,4,1950,7,6083,1
H7295,2013,1,0,V,V,V,U,1178,4,1980,   .,6083,0
H7350,2013,1,0,N,V,V,U,5785,4,1980,   .,6083,1
H7410,2014,1,0,V,V,V,U,260,4,1980,   .,6083,0
H529,2012,1,0,V,V,V,U,60,4,1988,   .,6084,0
H6380,2014,1,0,V,N,O,R,400,4,1983,3,6085,0
H12713,2013,1,1,N,V,V,U,279,4,1980,   .,6088,0
H12935,2013,0.594520548,1,N,V,V,U,1196,4,1980,   .,6088,0
H13194,2012,1,1,N,V,V,U,670,4,1980,   .,6088,1
H13281,2014,1,0,V,N,O,R,1984,4,1954,7,6088,1
H13446,2014,1,1,N,V,V,U,450,4,1960,   .,6088,0
H13811,2012,1,0,N,V,V,U,234,4,1960,   .,6088,0
H13918,2012,1,1,V,N,O,R,4400,4,1965,6,6088,1
H13919,2013,1,1,V,N,O,R,4400,4,1965,6,6088,1
H13931,2014,1,1,V,N,O,R,412,4,1960,3,6088,0
H13932,2015,1,1,V,N,O,R,412,4,1960,3,6088,0
H14151,2014,1,0,N,V,V,U,600,4,1980,   .,6088,0
H14260,2012,1,0,V,N,O,R,1980,4,1960,4,6088,1
H14261,2014,1,0,N,V,V,U,870,4,1960,   .,6088,0
H14298,2012,1,0,V,N,O,R,2100,4,1968,5,6088,1
H14321,2013,1,0,V,N,O,R,12721,4,1960,8,6088,1
H14322,2015,1,0,V,N,O,R,12721,4,1960,8,6088,1
H14323,2016,0.99726776,0,V,N,O,R,12721,4,1960,8,6088,0
H14350,2012,1,1,N,V,V,U,1260,4,1980,   .,6088,0
H14494,2012,1,1,V,N,O,R,520,4,1960,3,6088,1
H14557,2012,0.74863388,0,N,V,V,U,1930,4,1960,   .,6088,0
H14627,2016,0.99726776,0,N,V,V,U,3070,4,1980,   .,6088,1
H14700,2012,1,0,N,V,V,U,4600,4,1960,   .,6088,1
H14701,2013,0,0,N,V,V,U,4600,4,1960,   .,6088,0
H14824,2016,0.99726776,1,N,V,V,U,1000,4,1980,   .,6088,1
H15054,2013,0.175342466,0,N,V,V,U,3500,4,1988,   .,6088,0
H15198,2012,1,1,V,N,O,R,2205,4,1990,7,6088,1
H15211,2014,0.161643836,1,V,N,O,R,1000,4,1900,3,6088,0
H15435,2013,1,1,V,N,O,R,2110,4,2004,7,6088,0
H15436,2014,1,1,V,N,O,R,2110,4,2004,7,6088,0
H15437,2015,1,1,V,N,O,R,2110,4,2004,7,6088,1
H15438,2013,1,1,V,N,O,R,1630,4,1970,5,6088,0
H15453,2013,1,1,V,N,O,R,1628,4,1954,5,6088,1
H15808,2014,0.117808219,1,V,N,O,R,1350,4,1960,6,6088,0
H15975,2014,1,0,V,N,O,R,332,4,1900,4,6088,0
H15976,2016,1,0,V,N,O,R,332,4,1900,4,6088,1
H16081,2016,1,1,V,N,O,R,1825,4,1936,7,6088,0
H16082,2012,1,1,V,N,O,R,6600,4,1965,1,6088,1
H16528,2012,1,0,V,N,O,R,8265,4,1958,5,6088,1
H16628,2012,1,1,V,N,O,R,10600,4,1966,8,6088,1
H16727,2014,1,0,V,N,O,R,3510,4,1973,4,6088,1
H16940,2013,0,1,V,N,O,R,8000,4,1970,7,6088,1
H16978,2014,1,1,V,N,O,R,3780,4,1953,7,6088,1
H16979,2015,1,1,V,N,O,R,3780,4,1953,7,6088,1
H16980,2016,1,1,V,N,O,R,3780,4,1953,7,6088,1
H17089,2013,0.120547945,0,V,N,O,R,2471,4,2009,5,6088,0
H17110,2012,1,1,V,N,O,R,1908,4,1920,6,6088,0
H17634,2016,0.99726776,1,V,N,O,R,490,4,1900,4,6088,1
H17781,2013,1,1,V,N,O,R,15000,4,1965,7,6088,1
