Index,Employed,Bank Balance,Annual Salary,Defaulted?
98,1,12572.64,557003.64,0
99,1,2926.08,566326.68,0
100,1,2238,545166.6,0
101,1,17064.24,458688.36,0
102,1,4605.6,737103.48,0
103,1,13913.28,549625.2,0
104,1,10595.88,206180.88,0
105,1,17558.76,785494.2,0
106,0,20668.32,231737.04,0
107,0,9287.04,174706.92,0
108,1,11498.04,393795.36,0
109,1,14490.36,816450.96,0
110,1,12679.32,366559.2,0
111,1,1411.68,558603.24,0
112,1,7163.52,697060.32,0
113,1,,572755.56,0
114,0,6499.92,196028.4,0
115,1,13430.16,540240.24,0
116,0,9723.84,245984.04,0
117,1,3258.6,394201.44,0
118,1,13372.8,572568.24,0
119,1,10404.36,402491.76,0
120,0,14121.48,211592.52,0
121,1,7322.76,509584.32,0
122,1,3271.44,665392.08,0
123,1,5396.88,595721.16,0
124,0,9933.24,128082.36,0
125,1,5160,407102.64,0
126,1,,381909.12,0
127,0,18688.08,220855.08,0
128,1,11138.88,404665.92,0
129,1,16481.4,589221.6,0
130,0,11412.84,223218.36,0
131,0,15506.52,276790.2,0
132,1,6986.28,297129.6,0
133,0,4073.04,231695.76,0
134,1,4919.76,535693.08,0
135,1,14597.4,643678.2,0
136,1,7181.52,529491.24,0
137,0,17844,214252.8,1
138,1,11325.6,719722.08,0
139,1,,594309,0
140,0,11955.36,250598.88,0
141,0,8979.6,134984.04,0
142,1,3896.88,184938.24,0
143,0,6904.56,192068.16,0
144,1,5300.88,432146.88,0
145,1,14263.68,474318.72,0
146,1,1141.8,616454.4,0
147,1,12187.32,518625.48,0
148,1,15102.84,539180.04,0
149,0,14138.88,93003.48,0
150,1,8778.36,527472.72,0
151,1,4201.08,533462.4,0
152,1,5026.2,442821.36,0
153,1,6398.76,472722.48,0
154,1,1143.6,388312.68,0
155,0,17436.12,191196,0
156,1,4231.68,472856.88,0
157,0,8834.88,169295.88,0
158,1,15677.76,494695.56,0
159,1,13789.8,542337.48,0
160,1,8438.76,692151.36,0
161,0,16329.6,226371.72,0
162,1,377.4,639448.2,0
163,1,11858.52,582844.32,0
164,1,4320.24,287130.6,0
165,1,7769.76,398715.36,0
166,0,,117801.48,0
167,1,5342.88,383695.44,0
168,0,10542.48,209960.88,0
169,0,4029.96,261118.44,0
170,1,7999.32,365261.64,0
171,1,9766.56,488849.52,0
172,1,10035.6,655286.16,0
173,1,11609.76,396661.32,0
174,0,26469.6,171257.88,1
175,0,15098.28,140066.64,0
176,1,14877.6,481286.04,0
177,0,,165123.6,0
178,0,11134.68,269680.56,0
179,0,16680.36,255589.2,0
180,1,4926,641654.52,0
181,1,876.96,368180.88,0
182,1,9487.2,543637.2,0
183,1,9474,390958.8,0
184,1,9496.32,555830.88,0
185,1,5748.48,447070.56,0
186,1,10663.32,346797.48,0
187,1,15412.68,513983.4,0
188,0,8547.36,280103.4,0
189,0,15487.44,220896.6,0
190,1,1516.32,531371.16,0
191,1,9352.56,733906.68,0
192,1,8369.88,593721.12,0
193,1,7283.64,523320.36,0
194,0,21634.8,256937.04,0
195,1,10801.08,495318.72,0
196,1,11595.36,401291.76,0
197,1,8052.72,428269.32,0
198,1,2058.72,282071.88,0
199,1,17789.76,543127.32,0
200,1,7687.92,557574.84,0
201,0,8473.92,216940.2,0
202,0,21296.28,244314.12,1
203,1,10998,309220.92,0
204,1,15255.24,432642,0
205,1,1326.84,568069.32,0
206,1,20967.12,453831.48,0
207,1,22675.2,587474.04,1
208,1,326.4,252622.08,0
209,1,8954.76,421918.2,0
210,0,22792.68,247862.4,1
211,0,9767.88,244698.36,0
212,1,5993.52,466789.92,0
213,1,10237.92,435269.4,0
214,1,5696.76,384772.08,0
215,1,14830.56,430065.36,0
216,1,7448.16,530565.24,0
217,1,2640.36,454560.36,0
218,0,15658.92,216888.96,0
219,0,19297.8,268296.6,0
220,1,3077.64,451884.72,0
221,0,13843.2,230699.76,0
222,1,9262.8,374041.08,0
223,0,13195.56,204768.48,0
224,1,9394.56,484285.56,0
225,1,5331.12,431092.08,0
226,1,6048.36,297371.52,0
227,1,21150,505495.92,0
228,0,10201.2,223427.88,0
229,1,16946.88,489420.72,0
230,1,8586,569790.84,0
231,1,16362.36,668556.48,0
232,1,5918.88,509942.4,0
233,1,16257,400501.56,0
234,0,6855.48,184995.24,0
235,1,11473.8,529040.52,0
236,1,11577.84,412689,0
237,1,6631.56,606157.92,0
238,1,4059.24,453206.88,0
239,1,8509.44,528499.56,0
240,1,11747.76,694068.6,0
241,1,4452.12,188432.52,0
242,0,18874.32,179162.16,1
243,1,,481802.64,0
244,1,23573.76,468655.08,1
245,1,6576.48,403267.8,0
246,1,15084.72,408540.12,0
247,1,14279.04,456202.68,0
248,1,8252.16,472482.96,0
249,1,10148.4,478794.12,0
250,0,11492.16,236116.2,0
251,1,2802.24,519913.32,0
252,0,13523.4,171579.12,0
253,0,5866.32,181913.88,0
254,1,9214.8,531882.96,0
255,1,6743.16,376662.12,0
256,0,13107.24,209455.2,0
257,1,861.48,383588.88,0
258,0,22069.68,163504.8,0
259,0,10512,269694.84,0
260,1,6649.32,364284.36,0
261,1,10695.84,527340.48,0
262,1,5578.08,327898.8,0
263,0,6762.48,288984.48,0
264,1,18364.2,360045.84,1
265,1,11886.84,500283,0
266,1,7084.8,513230.4,0
267,0,8581.92,253842.12,0
268,1,18484.56,502224.96,0
269,1,14919.96,499676.16,0
270,0,2823.96,250916.4,0
271,1,6339,592732.08,0
272,1,7107,368774.4,0
273,1,8462.4,512198.28,0
274,1,5478.24,578349.36,0
275,0,5648.64,216625.2,0
276,0,18036.96,127204.92,0
277,1,16355.64,530615.04,0
278,1,10905.24,540394.2,0
279,0,13161.84,193776.72,0
280,1,4430.64,574021.08,0
281,1,8080.8,603075.48,0
282,1,12462,614077.68,0
283,1,,345155.04,0
284,1,6326.28,389173.44,0
285,1,9809.64,395693.16,0
286,0,18588.48,236427.48,0
287,0,6800.52,142247.4,0
288,1,17952.72,299231.04,0
289,1,10351.92,514137.96,0
290,1,15109.8,375163.68,0
291,1,12300.48,522120.6,0
292,0,8439.36,177524.88,0
293,0,12988.68,182104.32,0
294,1,10925.4,528659.04,0
295,0,11958.48,203947.92,0
296,1,4245.36,702171.84,0
297,0,9392.52,159603.6,0
298,1,20599.2,612682.44,0
299,0,6034.8,181847.64,0
300,1,12401.64,710447.64,0
301,1,,419104.44,0
302,0,13044.96,231165.24,0
303,1,12566.88,526797.12,0
304,1,12683.16,460414.44,0
305,0,11750.64,312130.68,0
306,0,10173.84,191743.56,0
307,1,9381.24,611505.48,0
308,0,4829.88,190848.72,0
309,1,2456.88,210411.48,0
310,0,24272.04,220040.88,0
311,1,8987.28,530239.44,0
312,1,10059.36,431009.88,0
313,1,4632.24,536328.36,0
314,1,9748.8,595477.2,0
315,0,21719.16,83821.68,0
316,1,,364326.6,0
317,0,15938.16,296261.64,0
318,0,17579.28,320600.28,0
319,1,14406.84,476624.28,0
320,1,11876.28,334278.96,0
321,1,10448.76,426471.24,0
322,0,14410.2,238197.96,0
323,0,17145.96,278456.16,0
324,1,,407415.48,0
325,0,4313.52,261399.24,0
326,1,3188.16,490353,0
327,1,12333.24,532882.08,0
328,1,8748.6,420505.56,0
329,1,12513.6,310405.8,0
330,1,2762.76,454507.32,0
331,1,4409.64,367335.24,0
332,0,8852.52,250365.6,0
333,1,219.12,364193.52,0
334,1,15093.12,370017.24,0
335,1,5466.24,490888.8,0
336,1,683.64,425501.76,0
337,0,8687.16,146556.48,0
338,1,7348.56,496557.24,0
339,0,14642.16,183697.56,0
340,1,14668.2,388360.44,0
341,1,13985.88,572210.64,0
342,1,19713.84,562283.4,1
343,1,11330.04,673064.16,0
344,1,8995.32,497087.28,0
345,1,4444.56,374772.12,0
346,1,23899.8,505600.44,1
347,1,9287.04,534748.08,0
348,0,9807,245770.68,0
349,1,12728.64,603125.52,0
350,1,18605.4,675282.12,1
351,0,5453.64,181109.28,0
352,0,15074.88,213414.72,0
353,1,17812.8,440775.72,0
354,0,12605.76,151939.32,0
355,1,11836.8,545165.64,0
356,1,8608.08,531196.56,0
357,1,8305.68,564457.08,0
358,1,15946.68,416520.72,1
359,1,8081.64,395160.84,0
360,1,2623.68,587896.8,0
361,1,14618.04,527451.36,0
362,0,162.24,231870.6,0
363,0,6377.76,260718.72,0
364,1,1986.48,401237.52,0
365,0,16222.2,310686,0
366,1,1287.36,649727.52,0
367,1,11366.28,427249.44,0
368,0,5214.72,177751.8,0
369,1,12240.84,449506.56,0
370,1,7947.72,379174.8,0
371,0,9053.04,249212.16,0
372,1,3473.88,532954.8,0
373,1,2376.48,435251.28,0
374,0,6192.72,199380.24,0
375,1,8370.72,501064.8,0
376,0,6027.84,203369.04,0
377,0,17516.28,186905.04,0
378,1,8604,413019.12,0
379,0,12455.64,219888.36,0
380,1,8076.24,356831.52,0
381,1,4463.04,493197.24,0
382,1,1069.56,667255.32,0
383,1,15279.36,490743.36,0
384,1,7208.64,224166.24,0
385,1,10860.48,488541.6,0
386,1,12737.28,653244.12,0
387,1,20071.68,556017.48,0
388,0,10604.4,237001.08,0
389,1,4485.36,647234.88,0
390,1,15453.6,628591.92,0
391,1,14756.88,584879.16,0
392,0,6127.32,269484.6,0
393,1,9307.56,326470.32,0
394,1,13835.76,602478.96,0
395,0,15643.92,95832,0
396,1,20103.36,338934,0
397,1,4779.36,360021.6,0
398,0,8878.8,300286.44,0
399,1,2717.04,384224.52,0
400,1,14607.84,302083.44,0
401,1,7677.84,358824,0
402,0,10598.04,152609.88,0
403,1,27.48,458238.24,0
404,1,5035.68,671615.88,0
405,0,18529.68,133230.36,0
406,1,13212.24,385836.12,0
407,1,20407.2,365867.76,1
408,1,3741.84,579612.72,0
409,1,5313.96,660889.56,0
410,1,8745.72,214914.96,0
411,1,3346.56,446264.04,0
412,1,9104.4,439511.88,0
413,1,7444.08,273644.88,0
414,0,22682.04,220829.52,0
415,1,,347417.4,0
416,0,15950.4,278208.24,0
417,1,12910.32,529543.56,0
418,1,7422.36,659483.88,0
419,1,13333.08,329602.68,0
420,1,10368.48,550583.16,0
421,1,10742.76,582149.52,0
422,0,11448.36,262902.36,0
423,1,11371.56,561762.24,0
424,1,3207.6,277415.16,0
425,0,16401.72,286958.52,0
426,1,7496.76,459902.04,0
427,1,164.16,302659.68,0
428,1,9430.44,537336.24,0
429,0,16237.08,227202,0
430,1,5763.84,306639.12,0
431,1,,354087.72,0
432,0,14663.64,215002.32,0
433,0,14219.28,301305.12,0
434,0,5742.84,330148.08,0
435,1,2660.28,417433.2,0
436,1,6940.68,492649.68,0
437,0,16337.52,234923.52,0
438,0,11734.2,236783.52,0
439,1,14213.16,442649.28,0
440,0,13424.4,262181.28,1
441,1,13429.2,446694.84,1
442,1,9316.2,375953.76,0
443,1,15867.6,621508.8,0
444,1,10536.36,329263.08,0
445,1,15220.56,203054.16,0
446,1,,391336.44,0
447,1,,447150.84,0
448,0,4401.48,309996.72,0
449,1,8970.72,478785.24,0
450,1,21447.48,449989.08,0
451,0,23153.4,179945.88,0
452,1,11845.68,335535.84,0
453,0,10276.32,249098.52,0
454,1,13213.8,217846.08,0
455,1,8450.16,378191.76,0
456,1,6667.44,490052.76,0
457,1,12882,537169.32,0
458,1,13514.64,394111.8,0
459,0,7797.24,188499.6,0
460,1,11731.92,524922,0
461,1,12598.68,511650.12,0
462,0,16602.84,189172.2,0
463,0,13145.64,168782.04,0
464,1,13072.44,362695.2,0
465,1,7262.64,261507.84,0
466,1,12406.68,591144.6,0
467,1,19256.64,458243.88,0
468,1,9915.96,296156.64,0
469,0,14113.8,200048.16,0
470,0,15300.24,239245.2,0
471,0,15483.36,282467.28,0
472,1,13601.64,616974,0
473,1,10048.92,448805.88,0
474,0,4548.96,219364.44,0
475,0,13610.04,149440.32,0
476,1,,469440.96,0
477,1,17894.04,712732.56,0
478,0,20344.32,114995.28,0
479,1,8466.84,655070.88,0
480,1,2870.28,404918.76,0
481,0,14204.52,149143.32,0
482,1,10785.12,459204.96,0
483,0,18291.48,140635.08,0
484,1,9324.24,421380.24,0
485,1,16737.6,312899.16,0
486,0,,245713.92,0
487,1,750.84,575361.24,0
488,1,23777.4,337534.8,1
489,1,6168.6,600639.12,0
490,1,8673.48,644570.28,0
491,1,1834.44,404602.32,0
492,1,3518.16,424683.48,0
493,1,,463363.44,0
494,0,7744.44,214540.32,0
495,0,18181.8,312561.24,0
496,0,9209.28,226157.88,0
497,0,5902.56,260582.76,0
498,1,,496673.28,0
499,1,,415073.88,0
500,1,6109.92,481591.92,0
501,0,11587.08,197281.2,0
502,0,22422.48,245875.2,0
503,1,4842,501645.36,0
504,1,7117.68,452051.28,0
505,1,,534574.44,0
506,1,8907.48,472406.28,0
507,0,13321.2,156163.32,0
508,1,9258.6,593284.8,0
509,1,7492.08,509913,0
510,0,5999.52,274619.4,0
511,1,13063.68,727800.48,0
512,1,18677.88,596036.04,0
513,0,9564.96,282704.16,0
514,1,4991.88,458588.16,0
515,0,6458.76,321996.48,0
516,0,14183.16,253032.96,0
517,0,10032.24,111261.48,0
518,1,1253.28,563136.12,0
519,1,6770.52,638359.44,0
520,0,9654.48,301097.52,0
521,1,12347.4,254619.6,0
522,1,8985,107806.32,0
523,1,799.56,344831.64,0
524,1,5433.6,576410.88,0
525,0,9581.52,332688.84,0
526,0,23302.8,281605.56,0
527,1,17353.2,275957.16,0
528,1,9132.72,738960.36,0
529,1,16202.04,517769.52,0
530,1,4571.4,443320.32,0
531,0,19234.2,190877.64,0
532,1,1771.32,451062.72,0
533,1,,435396.96,0
534,0,8796.84,225818.04,0
535,0,12993,313156.08,0
536,1,9355.92,489653.76,0
537,1,11929.92,783048.96,0
538,1,9230.16,600849.36,0
539,0,8209.2,59822.04,0
540,1,5310.72,334781.64,0
541,1,20604.84,460906.68,1
542,1,,435630.36,0
543,1,13108.2,536604.12,0
544,1,5967.96,421761.6,0
545,0,13796.16,202892.4,0
546,1,17582.52,704399.76,1
547,1,6783.84,501475.32,0
548,0,11065.68,146690.28,0
549,0,2107.2,138120.72,0
550,1,12299.4,596106.72,0
551,1,7162.68,649099.44,0
552,1,9004.92,637018.92,0
553,0,9490.44,170207.64,0
554,1,1347.96,508632.6,0
555,0,8860.68,193119.36,0
556,1,13894.32,653037.72,0
557,1,14558.88,541794.24,0
558,1,16075.56,499872,0
559,1,7059.72,678251.52,0
560,1,8661.72,676508.64,0
561,1,8169.84,526121.64,0
562,0,9784.92,144861.12,0
563,1,12510.12,446041.32,0
564,0,7959,245455.44,0
565,0,17743.44,216317.64,0
566,1,4053.12,403866.84,0
567,0,15282.6,277519.68,0
568,1,1370.16,594755.88,0
569,1,,627547.2,0
570,0,18195.84,316531.08,0
571,0,10777.32,289977,0
572,1,9487.08,578635.08,0
573,1,,348872.64,0
574,1,15278.88,589637.64,0
575,1,15350.4,432757.32,0
576,0,8792.64,174825,0
577,1,21162.96,554724.84,1
578,0,15365.04,195730.92,0
579,1,18359.28,442954.8,0
580,0,4145.64,219017.88,0
581,1,2375.88,404687.88,0
582,0,21251.64,191706.48,1
583,0,7672.44,204444.6,0
584,1,2865.72,282320.52,0
585,1,4686.72,544060.32,0
586,0,9962.04,233719.08,0
587,0,16546.56,259362.96,0
588,1,2908.8,448373.04,0
589,1,14838.6,434537.88,0
590,1,12765.24,418971.36,0
591,1,1523.04,405829.68,0
592,1,9101.64,456217.8,0
593,1,10907.16,825106.56,0
594,1,6702.24,555569.16,0
595,1,21830.88,443634.6,0
596,0,13328.16,231930.96,0
597,1,8678.88,521508.12,0
598,1,11664.36,222131.4,0
599,1,8352.12,488897.04,0
600,0,14139,352351.2,0
601,0,3954.72,232461.72,0
602,0,9510.36,174555.6,0
603,1,14952.48,404300.64,0
604,1,7101.12,500043.12,0
605,1,2928.96,298251,0
606,1,12462.6,599338.44,0
607,1,8148.84,593862.72,0
608,1,12737.04,487022.64,0
609,0,15218.88,142974.96,0
610,0,11466.36,176840.64,0
611,1,13389.84,334593.72,0
612,0,7213.92,264350.28,0
613,1,13171.2,627437.16,0
614,1,12513.36,551795.64,0
615,0,15857.28,103489.32,0
616,1,12628.68,451651.92,0
617,1,8255.4,331248.96,0
618,0,6797.52,297939.24,0
619,1,9232.92,420854.04,0
620,1,11461.68,316475.88,0
621,1,7720.92,343921.68,0
622,1,,512943.6,0
623,1,5251.68,544608.6,0
624,1,15346.44,416078.04,0
625,1,19672.68,367497.36,0
626,1,10699.68,437649.96,0
627,0,3797.52,225767.28,0
628,1,7475.16,586494.72,0
629,1,1287.36,507447.6,0
630,0,11886.48,148781.88,0
631,1,,547920,0
632,1,,397439.52,0
633,1,7094.64,423453.84,0
634,0,11136.72,253462.08,0
635,1,3655.2,489431.88,0
636,1,2831.28,376038.12,0
637,0,13296.6,130238.76,0
638,1,8247.72,294765.12,0
639,1,722.28,478378.32,0
640,1,,415787.64,0
641,1,3274.68,704766.84,0
642,1,18380.64,527164.8,1
643,1,11395.32,572430.84,0
644,1,6743.04,420966.96,0
645,1,5617.56,302776.2,0
646,0,11917.32,146591.4,0
647,1,,375776.4,0
648,0,9113.76,152528.64,0
649,1,16089.48,437282.76,0
650,0,18257.52,182525.64,0
651,1,1604.88,365484.24,0
652,1,9362.04,619882.44,1
653,1,10079.04,274617.48,0
654,1,10962.12,440050.2,0
655,1,11098.56,428551.68,0
656,1,14373.96,655827.72,0
657,1,590.52,365413.8,0
658,1,11648.64,580651.8,0
659,1,9396.72,648989.04,0
660,0,5580.72,244548.72,0
661,1,,472053,0
662,0,8787.12,263832.6,0
663,1,6913.08,452156.4,0
664,0,7067.88,195718.56,0
665,1,10357.68,525353.76,0
666,1,10290.96,596104.44,0
667,1,4338,404098.68,0
668,1,10693.92,432277.08,0
669,1,11017.44,536862.72,0
670,1,16020.36,253810.32,0
671,1,5056.8,478482.24,0
672,0,8923.68,226607.64,0
673,1,9284.88,502469.88,0
674,1,8776.68,543022.56,0
675,1,11570.28,435964.68,0
676,0,4200.24,211886.04,0
677,1,14479.92,445507.08,0
678,1,12623.4,634658.28,0
679,1,5457.12,546866.04,0
680,1,11192.04,513103.2,0
681,1,6429,435113.52,0
682,1,2901.72,494234.16,0
683,1,12318.12,504506.04,0
684,0,2252.16,219345.96,0
685,1,2370.48,703763.16,0
686,1,7028.52,519460.8,0
687,0,23364.24,145764.6,0
688,1,9954.6,476610.48,0
689,1,2363.28,425861.4,0
690,1,7102.32,377265.36,0
691,1,,476905.32,0
692,0,12099.48,143271.6,0
693,0,12626.76,208929,0
694,1,3980.16,597074.04,0
695,1,10957.32,352975.8,0
696,0,6736.68,260967.12,0
697,1,2963.52,572314.68,0
698,1,6947.76,555656.64,0
699,1,6693.72,748234.2,0
700,0,9459,125018.16,0
701,1,12729.72,470088.72,0
702,0,14974.92,237800.64,0
703,1,14212.32,411119.88,0
704,1,12294.96,396858.6,0
705,1,12963.48,520414.8,0
706,1,6483.36,315205.92,0
707,1,17386.08,406028.88,0
708,0,6734.28,329053.32,0
709,1,14297.76,360486.84,0
710,1,6781.68,458430.96,0
711,1,5795.76,430142.28,0
712,1,11404.2,449835,0
713,0,4208.4,254824.32,0
714,0,18612.24,228330.12,1
715,1,11779.2,452974.92,0
716,1,17305.56,131059.44,0
717,1,12724.08,679287,0
718,1,13858.68,741532.2,0
719,0,6529.68,240681.96,0
720,1,13646.16,331067.16,0
721,1,4968.96,573737.04,0
722,0,5232.12,210053.4,0
723,1,11853.72,309719.76,0
724,1,8152.68,559242.6,0
725,1,16533.24,619599.96,0
726,1,10281.72,389245.56,0
727,1,12440.16,539085.6,0
728,1,,561921.6,0
729,1,11537.64,623241.12,0
730,1,3311.88,427473.96,0
731,1,5120.28,369232.08,0
732,1,3483,554569.92,0
733,1,11219.64,507909,0
734,0,8027.88,316104.6,0
735,0,24056.76,325638.48,0
736,1,15754.44,359259.12,0
737,0,7947.24,181104.6,0
738,1,6295.68,433450.68,0
739,0,14551.08,252700.2,0
740,1,11535.84,363489.72,0
741,0,18051.48,167582.28,1
742,0,7363.92,300485.88,0
743,0,14800.08,160824.84,0
744,1,14656.68,443535.84,0
745,1,14604.72,555081.36,0
746,1,7545.12,518462.16,0
747,0,9829.2,191495.28,0
748,0,10121.88,152520.36,0
749,1,14082.72,349696.44,0
750,0,14347.08,159955.2,0
751,1,14434.56,147457.56,0
752,1,298.44,351803.64,0
753,1,10238.88,353808.6,0
754,1,4785.36,482686.92,0
755,0,18254.04,217798.68,0
756,0,13922.64,191292.6,0
757,1,11827.32,599381.64,0
758,1,7005.84,458591.52,0
759,0,7664.28,217779.6,0
760,1,4620,304568.4,0
761,1,12609.12,378706.8,0
762,0,22463.28,216929.88,1
763,1,9525.12,421892.88,0
764,0,7099.92,261486,0
765,1,5033.76,288018.12,0
766,0,6171.36,218225.76,0
767,1,12334.8,258619.32,0
768,0,12356.16,191727.84,0
769,0,11443.56,220356.84,0
770,0,17560.08,138949.92,0
771,1,14069.52,416281.68,0
772,0,6579.24,144585.84,0
773,1,21034.56,579001.2,0
774,0,6671.04,286916.52,0
775,0,18731.16,163458.84,0
776,0,10078.56,202600.08,0
777,0,13353.84,163618.92,0
778,1,15711,519336.72,0
779,1,11287.08,498725.64,0
780,1,12231,494344.44,0
781,1,5204.04,394856.4,0
782,1,12181.44,504605.64,0
783,1,902.16,633191.76,0
784,1,12603.84,475027.44,0
785,1,586.92,421862.04,0
786,1,20659.8,578833.56,0
787,1,19288.2,584410.2,0
788,1,14165.4,526973.04,0
789,1,7318.56,490511.4,0
790,0,12650.4,233291.64,0
791,0,9525.84,228888.36,0
792,1,10556.16,360256.56,0
793,1,14851.8,349814.76,0
794,0,16953.12,218813.52,0
795,0,14096.64,156309.24,0
796,1,4360.08,531909.48,0
797,1,11033.88,539138.16,0
798,0,14340.72,259783.92,0
799,0,9529.68,188661.6,0
800,1,122.28,405321.96,0
801,1,,372998.64,0
802,0,5982.12,203611.44,0
803,0,14725.92,221513.04,0
804,1,22831.32,640728.96,1
805,0,12710.4,140908.56,0
806,0,5403.72,254131.32,0
807,1,5022.48,660032.76,0
808,1,12845.76,395272.44,0
809,1,15681.24,679687.56,0
810,0,15784.08,101174.16,0
811,1,894.36,229755,0
812,1,793.8,467125.44,0
813,1,677.04,650608.08,0
814,1,12679.2,301486.32,0
815,1,3110.88,616264.44,0
816,0,13724.28,282010.8,0
817,0,,188184.84,0
818,1,10533.48,362876.64,0
819,1,11028.96,543786.72,0
820,1,1139.16,326555.4,0
821,1,4000.44,352957.8,0
822,1,2374.92,371654.4,0
823,1,7498.92,492570.72,0
824,1,1659,652878,0
825,1,9450.6,554226.6,0
826,1,12371.16,435255.96,0
827,1,12597,361910.52,0
828,1,,428867.88,0
829,0,13560.72,221605.2,0
830,1,9546.48,615637.68,0
831,0,18043.2,224527.32,0
832,1,5233.68,552859.92,0
833,1,9608.52,435773.28,0
834,0,22572.6,198965.4,1
835,0,17345.52,223591.44,0
836,1,13993.2,287932.8,0
837,1,1965,467640.36,0
838,1,,556245.6,0
839,1,15864.6,573770.04,0
840,1,15402.24,738308.4,0
841,1,12010.8,516708.6,0
842,1,2998.32,571225.44,0
843,1,6002.64,467892.12,0
844,1,6817.08,436493.16,0
845,0,12565.08,164571.36,0
846,0,2240.04,191719.68,0
847,1,9393.36,470692.92,0
848,1,4662.6,216093.96,0
849,0,10110.84,207354.24,0
850,1,6673.44,530374.92,0
851,1,14814.96,577349.76,0
852,1,4954.68,505478.64,0
853,1,8200.32,351231.96,0
854,1,10466.76,577219.32,0
855,1,4989.24,296889,0
856,0,18216.24,200885.28,0
857,1,3052.68,535345.8,0
858,1,18087,288690.24,0
859,1,10806.84,490184.28,0
860,1,7141.8,552143.4,0
861,0,1967.28,252996,0
862,1,4675.32,521672.04,0
863,0,16019.64,178018.32,0
864,0,23540.76,214369.2,0
865,1,14077.92,437276.16,0
866,1,13229.04,278616.96,0
867,1,14746.92,556941.84,0
868,1,18069.96,354309,1
869,0,14611.44,253925.16,0
870,0,10117.92,144514.68,0
871,1,12054.36,712847.16,0
872,1,3528.72,690001.32,0
873,1,5816.64,294834.84,0
874,1,9306.72,415035,0
875,0,16071.72,252382.32,0
876,1,9622.32,469879.56,0
877,1,6622.68,450877.68,0
878,0,6268.56,281280.72,0
879,0,14849.4,247925.64,0
880,1,3840.12,690761.88,0
881,1,11528.04,361124.76,0
882,1,3264.24,357283.32,0
883,1,11126.04,405381.84,0
884,1,909.6,662276.28,0
885,1,15430.2,451631.4,0
886,1,17661.36,389736.48,0
887,0,9696.12,173825.64,0
888,1,8968.2,514800.24,0
889,1,3933.6,286383.96,0
890,0,10216.08,225438.96,0
891,1,1330.2,328443.6,0
892,1,6501.12,687865.32,0
